Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
2751,1.0611734,1.07013398,1.06544664,1.0743012,0.00468734,-0.0131278,1635491634439,1635491634252,1635491629902,0.0044,2,1,1
2752,1.06110354,1.07013398,1.06544664,1.0743012,0.00468734,-0.01319766,1635491639347,1635491639139,1635491629902,0.0044,1,1,1
2753,1.06110354,1.07013398,1.06541658,1.0743012,0.0047174,-0.01319766,1635491639440,1635491639258,1635491629902,0.0044,0,1,1
2754,1.06110354,1.07013398,1.06540656,1.0743012,0.00472742,-0.01319766,1635491639644,1635491639400,1635491629902,0.0044,0,1,1
2755,1.06063448,1.0721205,1.06516608,1.07634375,0.00695442,-0.01570927,1635491664888,1635491664542,1635491664793,0.0065,2,1,0
2756,1.06065444,1.0721205,1.06526628,1.07634375,0.00685422,-0.01568931,1635491665004,1635491664844,1635491664838,0.0064,2,1,1
2757,1.0605746,1.0721205,1.06503582,1.07634375,0.00708468,-0.01576915,1635491665839,1635491665645,1635491665708,0.0067,2,1,1
2758,1.0605746,1.0721205,1.06489554,1.07634375,0.00722496,-0.01576915,1635491665954,1635491665753,1635491665708,0.0068,0,1,1
2759,1.0605746,1.0721205,1.06486548,1.07634375,0.00725502,-0.01576915,1635491666054,1635491665842,1635491665708,0.0068,0,1,1
2760,1.0605746,1.0721205,1.06483542,1.07634375,0.00728508,-0.01576915,1635491666637,1635491666394,1635491666009,0.0068,0,1,1
2761,1.0605746,1.07013398,1.06483542,1.07634375,0.00529856,-0.01576915,1635491666713,1635491666394,1635491666615,0.005,0,1,0
2762,1.0605746,1.070124,1.06483542,1.07634375,0.00528858,-0.01576915,1635491666716,1635491666394,1635491666618,0.005,0,1,0
2763,1.0605746,1.070124,1.06485546,1.07634375,0.00526854,-0.01576915,1635491667452,1635491667239,1635491667091,0.0049,0,1,1
2764,1.06059456,1.070124,1.06485546,1.07634375,0.00526854,-0.01574919,1635491667535,1635491667348,1635491667091,0.0049,1,1,1
2765,1.06089396,1.070124,1.06530536,1.07634375,0.00481864,-0.01544979,1635491667829,1635491667649,1635491667574,0.0045,2,1,1
2766,1.06069436,1.070124,1.06526628,1.07634375,0.00485772,-0.01564939,1635491667941,1635491667745,1635491667574,0.0046,2,1,1
2767,1.05724128,1.06733888,1.06154886,1.07087692,0.00579002,-0.01363564,1635492619575,1635492619097,1635492619471,0.0055,0,0,0
2768,1.05724128,1.06733888,1.06163904,1.07087692,0.00569984,-0.01363564,1635492620444,1635492620180,1635492619471,0.0054,0,0,1
2769,1.05724128,1.06733888,1.06170918,1.07087692,0.0056297,-0.01363564,1635492620837,1635492620637,1635492619471,0.0053,0,0,1
2770,1.05724128,1.06733888,1.06154886,1.07087692,0.00579002,-0.01363564,1635492620945,1635492620747,1635492619471,0.0055,0,0,1
2771,1.05725126,1.06733888,1.06154886,1.07087692,0.00579002,-0.01362566,1635492621078,1635492620835,1635492619471,0.0055,1,0,1
2772,1.05719138,1.06733888,1.06154886,1.07087692,0.00579002,-0.01368554,1635492622243,1635492622035,1635492619471,0.0055,1,0,1
2773,1.05719138,1.06733888,1.06168914,1.07087692,0.00564974,-0.01368554,1635492622351,1635492622145,1635492619471,0.0053,0,0,1
2774,1.05721134,1.06733888,1.06170918,1.07087692,0.0056297,-0.01366558,1635492622438,1635492622247,1635492619471,0.0053,2,0,1
